DT,High,Low,Rain
1981-01-01,26.93,15.75,0
1981-01-02,28.06,15.7,0
1981-01-03,26.97,15.82,0
1981-01-04,27.82,15.38,0
1981-01-05,28.21,14.8,0
1981-01-06,29,14.66,0
1981-01-07,29.46,15.01,0
1981-01-08,29.14,14.74,0
1981-01-09,27.36,15.31,0.87
1981-01-10,26.71,17.71,1.76
1981-01-11,25.69,16.71,1.1
1981-01-12,27.73,17.44,0.07
1981-01-13,24.57,14.33,0.83
1981-01-14,26.17,15.77,0
1981-01-15,24,15.68,0.9
1981-01-16,22.03,15.82,0.79
1981-01-17,27.07,15.7,0
1981-01-18,25.29,14.75,0.5
1981-01-19,25.52,16.33,0.55
1981-01-20,27.03,17.23,0.04
1981-01-21,27.39,15.29,0
1981-01-22,27.51,15.5,0
1981-01-23,28.2,15.62,0
1981-01-24,27.23,15.8,0.05
1981-01-25,26.68,17.11,0.51
1981-01-26,27.12,16.99,0.44
1981-01-27,28.62,14.94,0
1981-01-28,27.98,14.89,0
1981-01-29,27.86,15.23,0
1981-01-30,29.24,15.16,0
1981-01-31,30.65,15.06,0
1981-02-01,30.61,15.88,0
1981-02-02,30.02,16.75,0
1981-02-03,29.12,16.87,0
1981-02-04,28.53,16.02,0
1981-02-05,28.93,15.89,0
1981-02-06,29.77,16.04,0
1981-02-07,29.69,17.2,0
1981-02-08,30.52,17.4,0
1981-02-09,29.91,17.79,0
1981-02-10,30.02,19.34,0
1981-02-11,30.34,18.9,0
1981-02-12,29.96,18.62,0
1981-02-13,29.79,18.44,0
1981-02-14,29.69,18.34,0
1981-02-15,30.24,17.79,0
1981-02-16,30.24,16.22,0
1981-02-17,29.47,14.16,0
1981-02-18,29.31,13.77,0
1981-02-19,29.81,13.52,0
1981-02-20,31.14,16.54,0
1981-02-21,31.16,17.05,0
1981-02-22,30.06,15.01,0
1981-02-23,29.95,14.46,0
1981-02-24,30.08,13.74,0
1981-02-25,31.53,17.65,0
1981-02-26,32.9,17.8,0
1981-02-27,32.01,18.47,0
1981-02-28,33.46,18.51,0
1981-03-01,32.4,18.04,0
1981-03-02,33.01,19.31,0
1981-03-03,32.05,18.46,0
1981-03-04,31.55,17.76,0
1981-03-05,29.89,16.88,0
1981-03-06,30.12,16.54,0
1981-03-07,31.23,17.08,0
1981-03-08,31.99,18.4,0
1981-03-09,32.8,19.1,0
1981-03-10,32.45,19.49,0.04
1981-03-11,30.52,19.77,1.69
1981-03-12,29.65,19.08,12.16
1981-03-13,28.48,19.12,2.05
1981-03-14,30.24,16.56,0
1981-03-15,29.86,17.25,0.01
1981-03-16,30.69,18.41,0
1981-03-17,30.47,17.28,0.04
1981-03-18,30.39,19.82,0.03
1981-03-19,31.32,21.14,0.01
1981-03-20,32.28,21.49,1.43
1981-03-21,31.75,20.41,4.65
1981-03-22,29.62,20.07,17.18
1981-03-23,30.39,18.34,0
1981-03-24,31.12,20.1,0
1981-03-25,31.45,19.91,0
1981-03-26,29.96,20.24,8.7
1981-03-27,29.37,20.44,1.24
1981-03-28,30.37,20.44,1.73
1981-03-29,31,19.84,0
1981-03-30,31.63,19.48,0
1981-03-31,32.46,20.28,0
1981-04-01,31.01,21.43,0.06
1981-04-02,32.07,21.29,0
1981-04-03,31.92,22.24,0.05
1981-04-04,32.62,22.18,0.24
1981-04-05,32.35,21.68,1.33
1981-04-06,32.2,22.12,0.09
1981-04-07,32.78,21.03,0
1981-04-08,32.64,20.31,0
1981-04-09,33.45,20.26,0
1981-04-10,34.18,19.47,0
1981-04-11,34.03,19.09,0
1981-04-12,34.26,19.67,0.01
1981-04-13,34.44,21.29,0
1981-04-14,34.45,19.62,0.08
1981-04-15,33.56,20.81,0.31
1981-04-16,32.97,21.27,0.94
1981-04-17,32.56,20.94,0.16
1981-04-18,33.03,21.2,1.46
1981-04-19,32.2,21.54,6.17
1981-04-20,33.07,21.13,3.18
